,player_id,name_common,year_id,age,pos,team_id,tmRtg,G,Min,MPG,P/36,TS%,A/36,R/36,SB/36,TO/36,Raptor O,Raptor D,Raptor+/-,Raptor WAR,PIE%,AWS%,USG%,2P%,3P%,FT%,3PAr,FTAr
2493,curryst01,Stephen Curry,2016,27,PG,GSW,10.7,79,2700,34.2,31.9,66.9,7.1,5.8,2.5,3.5,11.1,2.8,13.9,23.7,20.2,22.9,32.6,56.6,45.4,90.8,55.4,25.0
6385,paulch01,Chris Paul,2009,23,PG,NOH,1.8,78,3002,38.5,24.3,59.9,11.8,5.9,3.1,3.2,8.7,3.9,12.7,23.6,21.9,24.2,27.5,52.5,36.4,86.8,14.0,41.8
14784,jordami01,Michael Jordan,1991,27,SG,CHI,9.5,82,3034,37.0,32.0,60.5,5.6,6.1,3.8,2.5,8.8,3.1,12.0,22.7,20.8,22.7,32.9,55.1,31.2,85.1,5.1,36.5
6156,jamesle01,LeBron James,2009,24,SF,CLE,10.0,81,3054,37.7,30.6,59.1,7.8,8.1,3.1,3.2,8.7,3.3,11.9,22.8,23.1,24.8,33.8,53.5,34.4,78.0,23.8,47.2
3034,curryst01,Stephen Curry,2015,26,PG,GSW,10.2,80,2613,32.7,26.6,63.8,8.7,4.8,2.5,3.5,9.5,2.3,11.7,19.9,18.9,21.4,28.9,52.8,44.3,91.4,48.2,25.1
16001,jordami01,Michael Jordan,1988,24,SG,CHI,3.5,82,3311,40.4,32.7,60.3,5.5,5.1,4.4,2.9,7.8,3.8,11.7,24.4,20.9,24.0,34.1,54.6,13.2,84.1,2.7,43.0
5640,jamesle01,LeBron James,2010,25,SF,CLE,7.1,76,2966,39.0,30.0,60.4,8.6,7.4,2.7,3.5,9.5,2.2,11.7,21.8,22.4,23.6,33.5,56.0,33.3,76.7,25.3,50.6
15620,jordami01,Michael Jordan,1989,25,SG,CHI,1.5,81,3255,40.2,30.0,61.4,7.4,7.4,3.4,3.3,8.4,2.8,11.2,23.1,21.7,23.7,32.1,55.3,27.6,85.0,5.5,44.2
3659,paulch01,Chris Paul,2014,28,PG,LAC,7.2,62,2171,35.0,20.5,58.0,11.5,4.6,2.7,2.5,7.1,3.9,11.0,15.3,18.2,19.8,23.7,49.8,36.8,85.5,24.4,39.7
770,hardeja01,James Harden,2019,29,PG,HOU,4.8,78,2867,36.8,36.2,61.6,7.5,6.6,2.8,5.0,9.8,1.1,10.9,20.1,20.2,19.6,40.5,52.8,36.8,87.9,53.9,44.9
12586,jordami01,Michael Jordan,1996,32,SG,CHI,13.4,82,3090,37.7,31.9,58.2,4.5,6.9,2.8,2.5,7.8,2.9,10.6,21.0,20.8,22.3,33.3,50.6,42.7,83.4,14.1,35.5
3085,paulch01,Chris Paul,2015,29,PG,LAC,6.9,82,2857,34.8,20.8,59.6,11.2,5.0,2.3,2.5,8.5,2.1,10.6,19.4,18.2,19.7,23.7,52.3,39.8,90.0,29.8,27.4
15204,jordami01,Michael Jordan,1990,26,SG,CHI,3.3,82,3197,39.0,32.0,60.6,6.0,6.6,3.3,2.9,8.6,2.0,10.6,21.8,20.5,22.2,33.7,54.8,37.6,84.8,12.5,35.6
1396,hardeja01,James Harden,2018,28,SG,HOU,8.7,72,2551,35.4,31.7,61.9,9.1,5.6,2.5,4.6,9.1,1.2,10.3,17.0,19.7,19.7,36.1,53.1,36.7,85.8,49.8,50.2
16323,stockjo01,John Stockton,1988,25,PG,UTA,3.6,82,2842,34.7,15.0,64.5,14.1,3.0,3.2,3.3,7.6,2.7,10.3,18.9,18.2,21.7,17.2,59.4,35.8,84.0,8.5,41.0
15942,stockjo01,John Stockton,1989,26,PG,UTA,5.1,82,3171,38.7,16.2,62.4,13.0,2.9,3.2,3.6,7.5,2.8,10.3,21.0,18.5,22.0,19.1,56.1,24.2,86.3,7.2,49.0
14709,stockjo01,John Stockton,1992,29,PG,UTA,6.6,82,3002,36.6,16.3,59.0,14.1,3.4,3.3,3.6,7.8,2.5,10.3,20.0,16.9,19.3,19.9,50.3,40.7,84.2,21.7,39.0
13942,jordami01,Michael Jordan,1993,29,SG,CHI,6.8,78,3067,39.3,32.3,56.4,5.4,6.6,3.6,2.6,7.3,3.0,10.2,20.3,20.0,21.2,34.7,51.4,35.2,83.7,11.5,28.4
15547,stockjo01,John Stockton,1990,27,PG,UTA,5.0,78,2915,37.4,17.3,60.7,14.6,2.6,2.9,3.5,8.3,1.9,10.2,19.2,17.9,20.4,20.6,52.8,41.6,81.9,12.3,47.1
2798,leonaka01,Kawhi Leonard,2016,24,SF,SAS,11.3,72,2380,33.1,24.6,61.6,3.0,8.0,3.2,1.7,5.0,5.1,10.1,15.5,17.4,20.8,25.8,52.8,44.3,87.4,26.7,30.6
4699,paulch01,Chris Paul,2012,26,PG,LAC,2.8,60,2181,36.4,22.0,58.1,10.1,3.9,2.9,2.3,8.1,1.9,10.0,14.2,19.1,21.7,24.3,51.1,37.1,86.1,23.9,33.9
15124,stockjo01,John Stockton,1991,28,PG,UTA,3.5,82,3103,37.8,17.2,60.4,14.2,2.9,3.0,3.6,7.8,2.2,10.0,20.1,17.9,20.6,20.9,54.1,34.5,83.6,17.2,44.4
14365,jordami01,Michael Jordan,1992,28,SG,CHI,11.0,80,3102,38.8,29.6,57.9,6.0,6.3,3.2,2.5,7.2,2.8,10.0,20.2,19.3,19.9,31.7,53.3,27.0,83.2,5.5,32.5
4254,jamesle01,LeBron James,2013,28,PF,MIA,8.6,76,2877,37.9,28.1,64.0,7.6,8.4,2.7,3.1,8.8,1.1,9.9,18.4,22.7,24.1,30.2,60.2,40.6,75.3,18.8,39.5
13418,stockjo01,John Stockton,1995,32,PG,UTA,8.6,82,2867,35.0,16.3,65.1,13.7,3.4,2.9,3.6,8.1,1.7,9.8,18.3,17.7,20.2,18.9,58.0,44.9,80.4,28.7,38.7
6926,paulch01,Chris Paul,2008,22,PG,NOH,5.8,80,3006,37.6,22.4,57.6,12.3,4.3,2.9,2.7,8.7,1.1,9.8,19.2,19.2,21.4,25.7,51.6,36.9,85.1,19.3,30.2
6318,wadedw01,Dwyane Wade,2009,27,SG,MIA,0.3,79,3048,38.6,31.3,57.4,7.7,5.2,3.7,3.6,7.2,2.5,9.7,19.3,20.3,21.4,36.2,52.4,31.7,76.5,16.0,44.3
8912,garneke01,Kevin Garnett,2004,27,PF,MIN,6.1,82,3231,39.4,24.9,54.7,5.1,14.3,3.7,2.7,5.0,4.6,9.7,20.3,22.9,24.7,29.6,50.6,25.6,79.1,2.7,28.9
